,ID,Product Name,Price,Color
109,ICH231003,Fabrics 2 Piece,3990,BLACK
110,ISCH231003,Fabrics 2 Piece,3990,L-YELLOW
111,ISCH231004,Fabrics 2 Piece,3990,L-GREEN
112,LLK231001,Fabrics 2 Piece,2590,GREEN
113,LK231002,Fabrics 2 Piece,2590,RED
114,LLA230913,Fabrics 2 Piece,2990,BLACK
115,JLK231003,Fabrics 2 Piece,2790,BLACK
116,JLK231004,Fabrics 2 Piece,2790,RED
117,EET24144,Classic Kameez,2490,MULTI
118,EET24145,Classic Kameez,2490,MULTI
119,EET24150,Classic Kameez,2490,MULTI
120,EET24147,Classic Kameez,2490,MULTI
121,EET23530,Classic Kurta,3490,RUST
122,EET23516,Choga,2990,BLACK
123,EET24142,Classic Kameez,2490,MULTI
124,EET24149,Classic Kurta,2490,MULTI
125,EET24143,Classic Kurta,2490,MULTI
126,EKT231023,Side Open Long Kameez,20990,MAROON
127,EKT231025,Classic Kameez,27990,OFF-WHITE
128,EKT231023B,Flared Pants,6990,RED
129,EKS231012,Dupatta,7990,RED
130,EKB231011,Narrow Culottes,7990,OFF-WHITE
131,EKT231022,Front Open Kameez,29990,BLUE
132,EKT231028,Front Open Kameez,27990,GREEN
133,EKT231024,Classic Kameez,24990,PINK
134,EKT231021,Classic Kameez,24990,YELLOW
135,EKS231011,Dupatta,12990,OFF-White
136,EKT231021S,Dupatta,12990,YELLOW
137,EKS231011S,Dupatta,9990,OFF-White
138,EKT22322,Flared Kurta,34990,BLACK
139,EKB22310,Flared Pants,8990,BLACK
140,EKT22324,Classic Kameez,24990,GREEN
141,EKB22312,Straight Pants,5990,PINK
142,EKB22309,Narrow Culottes,5990,GREEN
143,EKT22323,Classic Kameez,29990,PINK
144,EKT22319,Classic Kurta,19990,GREEN
145,EKT22318,Classic Kurta,24990,BLACK
146,EKT22317,Flared Kameez,39990,MULTI
147,EKT22320,Classic Kameez,29990,MUSTARD
148,EKT22320B,Narrow Culottes,5990,MUSTARD
149,EET235136,Kali Kurta,4190,PINK
150,EET235135,Kali Kurta,3990,NAVY
151,EEB23590,Straight Pants,1990,NAVY
152,EET235134,Flared Kameez,3990,PURPLE
153,EET235129,Kali Kurta,3990,YELLOW
154,EEB23591,Narrow Culottes,1990,PINK
155,EEB23586,Narrow Culottes,1990,YELLOW
156,EET235139,Flared Kameez,4190,OFF-WHITE
157,EEB23592,Tapered Shalwar,1990,OFF-WHITE
158,EET235130,A Line Kameez,3490,OFF-WHITE
159,EET235132,Contemporary Kameez,3490,PINK
160,EET235133,Contemporary Kameez,4190,PINK
161,EST23210,Classic Kameez,7490,BLACK
162,EST23215T,Classic Kameez,6490,BLUE
163,EST23212,Classic Kameez,7490,BLUE
164,EST23201,Contemporary Kameez,10990,OFF-WHITE
165,EST23205,Contemporary Kameez,7990,BLACK
166,EST23206,Drop Shoulder,6990,BEIGE
167,EST23213,Classic Kameez,6990,CORAL
168,EST23211,Classic Kurta,5990,WHITE
169,EST23208,Classic Kurta,4990,BLUE
170,EST23202,Classic Kameez,8990,GREEN
171,EST23215,Classic Kameez,6490,BLUE
172,EST23203,Drop Shoulder,9990,BLUE
173,EET23395,Classic Kurta,3690,BLACK
174,EET23392,Flared Kameez,3690,BLUE
175,EET23394,Classic Kurta,3490,OFF-WHITE
176,EET23392B,Tulip Shalwar,2190,BLUE
177,EET23391B,Tulip Shalwar,2190,BEIGE
178,EET23391,Drop Shoulder,3490,BEIGE
179,EET23390,Contemporary Kameez,3690,WHITE
180,EET23393,Classic Kurta,3490,BLUE
181,EET23395B,Narrow Culottes,2190,BLACK
182,EET23394B,Narrow Culottes,1990,OFF-WHITE
183,EET23390B,Straight Pants,1990,WHITE
184,EET23393B,Narrow Culottes,1990,BLUE
185,EET23310T,Classic Kurta,5990,MUSTARD
186,EET23201,Raglan,3990,BLACK
187,EET23451,Classic Kameez,3690,TEAL
188,EET23215,Classic Kurta,3490,PINK
189,EET23207TT,Classic Kameez,2990,BLUE
190,EET23205,Drop Shoulder,2690,TEAL
191,EET23212,Classic Kurta,3190,RED
192,EET23202,Classic Kurta,2990,GREEN
193,EET23206,Classic Kameez,2490,MULTI
194,EET23213,Classic Kurta,3490,ORANGE
195,EET23203,Classic Kurta,3190,OFF-WHITE
196,EET23215T,Classic Kameez,2990,MULTI
197,C2T23177BP,Culotte Pants,3190,RED
198,EET23531,Drop Shoulder,3690,RUST
199,EST23428,Classic Kameez,4990,BLUE
200,EST23425,Classic Kameez,4490,RED
201,EET23533,Contemporary Kurta,3990,BEIGE
202,EET23513,Drop Shoulder,3190,OFF-WHITE
203,EET23529,Classic Kurta,3190,RUST
204,EEB23512,Flared Kameez,4990,BLACK
205,EET24148,Classic Kurta,2490,MULTI
206,ECT22457,Classic Kameez,3490,MULTI
207,EET23210,Contemporary Kurta,3690,BLUE
208,EET23214,Contemporary Kameez,3990,BLUE
209,EET23211,Raglan,3690,BLUE
210,EET23203T,Contemporary Kameez,3190,OFF-WHITE
211,EET23313,Contemporary Kameez,4190,RED
212,EES23510,Shawl,3190,RUST
213,EES24205,Dupatta,1990,MULTI
214,ESS23410,Dupatta,3990,GREEN
215,EES23515,Dupatta,2490,RUST
216,EES24120,Dupatta,1990,MULTI
217,EES23517,Dupatta,1990,BLACK
218,EES23509,Stole,1990,GREEN
219,EES23513,Dupatta,1990,BEIGE
220,EES24121,Dupatta,1990,MULTI
221,ESS23416,Dupatta,3190,RED
222,ESS23415,Dupatta,2990,MULTI
223,ESS23411,Dupatta,3990,PURPLE
224,EEB24134,Straight Pants,1490,MULTI
225,EEB24135,Straight Pants,1490,MULTI
226,EEB24140,Narrow Culottes,1490,MULTI
227,EEB24137,Narrow Culottes,1490,MULTI
228,EEB24132,Classic Shalwar,1490,MULTI
229,EEB24139,Classic Shalwar,1490,MULTI
230,EET23532B,Narrow Culottes,2190,BLACK
231,EEB24131,Classic Shalwar,1490,MULTI
232,EET23531B,Straight Pants,1690,RUST
233,EEB23510,Narrow Culottes,1690,GREEN
234,ESB23416,Narrow Culottes,2490,GREEN
235,EEB24136,Narrow Culottes,1490,MULTI
236,EEB23511,Classic Shalwar,1690,RED
237,ESB23414,Tapered Shalwar,3690,PURPLE
238,ESB23411,Tapered Shalwar,2690,BLUE
239,ESB23412,Tapered Shalwar,2690,BROWN
240,EKT231026B,Classic Shalwar,5990,OFF-WHITE
241,EEB24121,Tapered Shalwar,1490,MULTI
242,EEB24126,Classic Shalwar,1490,MULTI
243,ESB23208,Cuff Shalwar,4990,BLUE
244,ESS23412,Dupatta,3990,PINK
245,ESS23409,Dupatta,3690,GREEN
246,EES23518,Shawl,2190,NAVY
247,ESS23266,Stole,3490,BEIGE
248,ESS23265,Stole,4190,OLIVE
249,ESS23263,Stole,2990,GREEN
250,ESS23264,Stole,3690,BLACK
251,EES23288,Stole,1690,PINK
252,ESS23245,Stole,4190,MUSTARD
253,EES23146,Stole,1690,MULTI
254,ESS23131,Stole,3690,PURPLE
255,ESS23132,Stole,3990,GREEN
256,WCKT23226,V Neck Blouse,2990,BLACK
257,WCKT23230,Drop Shoulder T-shirt,1990,PINK
258,WCKT23233,Round Neck T-shirt,1790,BLACK
259,WCKT23225T,Sleeveless T-shirt,2190,GREEN
260,WCKT23221,Round Neck T-shirt,1990,YELLOW
261,WCKT23225,V Neck Blouse,2990,GREEN
262,WCKT23228,Drop Shoulder T-shirt,2190,WHITE
263,WCKT23229,A Line Dress,3190,BLACK
264,WCKD23210,Belted A Line Dress,3990,GREY
265,WCKB23227,Bootcut Trousers,2790,GREEN
266,WCKB23213,Balloon Trousers,2790,BLACK
267,WSCT23232,Button Down Shirt,5490,BROWN
268,WSCD23249T,Oversized Blouse,3690,MULTI
269,WSCD23249,Belted Kaftan,4190,MULTI
270,WSCT23234,Button Down Shirt,3690,BLACK
271,WSCT23235,Tie Neck Blouse,4190,BROWN
272,WSCT23211,V Neck Blouse,5490,OFF-WHITE
273,WSCT23233,Raglan Blouse,3690,MULTI
274,WSCT23237,Raglan Tunic,4490,BLACK
275,WSCD23253,Oversized Blouse,3690,BLACK
276,WSCD23252,Belted Shirt Dress,6490,BLACK
277,WSCB23231,Bootcut Trousers,2990,BROWN
278,WCWD23221,Tiered Dress,4990,BLUE
279,WCWB23219,Drop Shoulder Button Down Shirt,4690,GREEN
280,WCWD23221D,Tiered Dress,5490,BLUE
281,WCWT23215,Band Collar Button Down Shirt,4490,BEIGE
282,WCWT23213,Raglan Button Down Shirt,4490,WHITE
283,WCWT23217,Batwing Blouse,4690,BROWN
284,WCWB23216,Drop Shoulder Button Down Shirt,4490,BLUE
285,WCWT23214,Drop Shoulder Button Down Shirt,4490,BLACK
286,WCWD23223,Belted Dress,6490,BLACK
287,WCWT23216,Classic Button Down Shirt With Cuff Sleeves,4690,OFF-WHITE
288,WCWB23218,Drop Shoulder Button Down Shirt,4490,WHITE
289,WCWD23222,Raglan Dress,5490,BROWN
290,WSCD23233,V Neck Tunic,4190,PINK
291,WSCD23232,Button Down Shirt,4690,PINK
292,WSCT23222B,V Neck Blouse,4190,BLACK
293,WSCT23221,Button Down Shirt,4690,L-GREEN
294,WSCT23220,Button Down Shirt,4690,MAROON
295,WSCD23234,Button Down Shirt,4690,MAROON
296,WSCD23231,Belted Oversized Blouse,4190,BLUE
